model,fold,biomarker,target_index,fit_observations,fit_subjects,calibration_observations,calibration_subjects_with_biomarker,test_observations,test_subjects_with_biomarker,outcome_scale,training_seconds
mlp,2,hippocampus_right,13,7494,1656,1823,414,1032,230,0.9932356476783752,42.24858283996582
mlp,2,hippocampus_left,14,7494,1656,1823,414,1032,230,0.9901524782180786,42.24517369270325
mlp,2,ventricle_right,17,7494,1656,1823,414,1032,230,0.9957152009010316,42.237189054489136
mlp,2,ventricle_left,18,7494,1656,1823,414,1032,230,1.005807399749756,42.25533080101013
mlp,3,hippocampus_right,13,7459,1656,1842,414,1048,230,0.9911744594573976,42.23526334762573
mlp,3,hippocampus_left,14,7459,1656,1842,414,1048,230,0.9855666756629944,42.25796461105347
mlp,3,ventricle_right,17,7459,1656,1842,414,1048,230,1.019548773765564,42.2391848564148
mlp,3,ventricle_left,18,7459,1656,1842,414,1048,230,1.017727613449097,42.24915671348572
mlp,4,hippocampus_right,13,7423,1656,1878,414,1048,230,1.0104855298995972,40.83945083618164
mlp,4,hippocampus_left,14,7423,1656,1878,414,1048,230,1.0059542655944824,40.82549381256104
mlp,4,ventricle_right,17,7423,1656,1878,414,1048,230,1.0053496360778809,40.84376072883606
mlp,4,ventricle_left,18,7423,1656,1878,414,1048,230,1.010189414024353,40.84033441543579
mlp,5,hippocampus_right,13,7407,1656,1909,414,1033,230,1.0059655904769895,40.83651924133301
mlp,5,hippocampus_left,14,7407,1656,1909,414,1033,230,1.0075067281723022,40.82615327835083
mlp,5,ventricle_right,17,7407,1656,1909,414,1033,230,1.0155177116394043,40.82352876663208
mlp,5,ventricle_left,18,7407,1656,1909,414,1033,230,1.003879189491272,40.83956265449524
mlp,6,hippocampus_right,13,7453,1656,1848,414,1048,230,1.0033411979675293,42.228049516677856
mlp,6,hippocampus_left,14,7453,1656,1848,414,1048,230,1.0067394971847534,42.23893451690674
mlp,6,ventricle_right,17,7453,1656,1848,414,1048,230,1.0026397705078125,42.22751069068909
mlp,6,ventricle_left,18,7453,1656,1848,414,1048,230,1.0022598505020142,42.23704719543457
mlp,7,hippocampus_right,13,7461,1656,1856,414,1032,230,0.9849666357040404,42.23816990852356
mlp,7,hippocampus_left,14,7461,1656,1856,414,1032,230,0.984207808971405,42.23474621772766
mlp,7,ventricle_right,17,7461,1656,1856,414,1032,230,1.0182523727416992,42.23170518875122
mlp,7,ventricle_left,18,7461,1656,1856,414,1032,230,1.0149341821670532,42.23808979988098
mlp,8,hippocampus_right,13,7445,1656,1855,414,1049,230,0.9782342910766602,42.2478883266449
mlp,8,hippocampus_left,14,7445,1656,1855,414,1049,230,0.9804940819740297,42.23524451255798
mlp,8,ventricle_right,17,7445,1656,1855,414,1049,230,1.027787685394287,42.23104977607727
mlp,8,ventricle_left,18,7445,1656,1855,414,1049,230,1.0155165195465088,42.23078989982605
mlp,9,hippocampus_right,13,7561,1656,1808,414,980,230,1.010191798210144,42.23481345176697
mlp,9,hippocampus_left,14,7561,1656,1808,414,980,230,1.009395718574524,42.25458073616028
mlp,9,ventricle_right,17,7561,1656,1808,414,980,230,0.9982009530067444,42.237839460372925
mlp,9,ventricle_left,18,7561,1656,1808,414,980,230,0.9872153401374816,42.23652529716492
